season,episode,index,timestamp,text
10,1,1,NONE,
10,1,2,"00:00:07,100 --> 00:00:12,891",The way you crushed Mike at Ping-Pongwas such a turn-on. You wanna...?
10,1,3,"00:00:13,940 --> 00:00:16,056","You know, I'd love to,but I'm a little tired."
10,1,4,"00:00:16,660 --> 00:00:19,174",- I'll put a pillowcase over my head.- You're on.
10,1,5,"00:00:20,340 --> 00:00:21,898",- Hey.- What's up?
10,1,6,"00:00:22,100 --> 00:00:25,979","Well, Mike's taking a shower, which,by the way, there's no law against."
10,1,7,"00:00:27,140 --> 00:00:30,132",And then we're gonna grab some food.So if you want...
10,1,8,"00:00:30,300 --> 00:00:32,256",- Finally.- Is that Ross?
10,1,9,"00:00:32,460 --> 00:00:35,611",Yeah. You can hear everythingthrough these stupid walls.
10,1,10,"00:00:36,100 --> 00:00:38,409",- Sounds like he's with someone.- He could be alone.
10,1,11,"00:00:38,580 --> 00:00:41,936",This morning I heard him do pushupsand then talk to his triceps.
10,1,12,"00:00:42,100 --> 00:00:44,489","Wait a minute, I think Phoebe's right."
10,1,13,"00:00:44,860 --> 00:00:47,454","Yeah, I hear someone elsein there with him."
10,1,14,"00:00:52,380 --> 00:00:54,735","- Dr. Geller!- God, you're amazing."
10,1,15,"00:00:54,900 --> 00:00:57,892",I didn't even have to ask youto call me that.
10,1,16,"00:00:59,300 --> 00:01:02,815","- Oh, my God, that's Charlie!- She's cheating on Joey with Ross!"
10,1,17,"00:01:02,980 --> 00:01:07,178","Oh, that tart! Floozy! Giant!"
10,1,18,"00:01:09,580 --> 00:01:11,775","- I'm not sure about this.- Yeah, you're right."
10,1,19,"00:01:11,940 --> 00:01:13,259",This is none of our business.
10,1,20,"00:01:13,420 --> 00:01:16,571",I'm not sure it's the best wayto hear everything. Get me a glass!
10,1,21,"00:01:17,300 --> 00:01:21,452","No, I'm not gonna do this, okay?I'm not gonna eavesdrop on my friend."
10,1,22,"00:01:21,620 --> 00:01:24,009",I love Barbados.
10,1,23,"00:01:30,060 --> 00:01:32,858",I can't believe I'm kissing you.I'm kissing Rachel!
10,1,24,"00:01:34,900 --> 00:01:36,811",I know. I'm her.
10,1,25,"00:01:38,340 --> 00:01:40,649",Rachel and Joey! It's Rachel and Joey!
10,1,26,"00:01:40,860 --> 00:01:42,578",- What?- Get over here!
10,1,27,"00:01:48,180 --> 00:01:51,058","Oh, my God! I love how thinthese walls are!"
10,1,28,"00:01:59,980 --> 00:02:01,857",Thank you.
10,1,29,"00:02:03,420 --> 00:02:05,411",The One After Joey and Rachel Kiss
10,1,30,"00:02:50,540 --> 00:02:54,658","Hey, before, you said that nothing couldhappen between us. What changed?"
10,1,31,"00:02:54,820 --> 00:02:57,414","Well, I only said that because of Ross."
10,1,32,"00:02:57,620 --> 00:03:00,339",- And then I saw him kissing Charlie.- What?
10,1,33,"00:03:00,500 --> 00:03:02,411",Ross and Charlie?
10,1,34,"00:03:02,580 --> 00:03:06,619","Wow! She's really making her waythrough the group, huh?"
10,1,35,"00:03:09,100 --> 00:03:10,897","- Eh, who am I to talk?- Yeah."
10,1,36,"00:03:13,340 --> 00:03:15,570",I can't believe this. Rachel and Joey?
10,1,37,"00:03:15,740 --> 00:03:18,698",How about the dinosaur twinsin the other room?
10,1,38,"00:03:19,300 --> 00:03:22,451",- No one is manning that wall!- I'm on it!
10,1,39,"00:03:25,020 --> 00:03:26,976",- Anything?- I think I hear curtains closing.
10,1,40,"00:03:27,180 --> 00:03:30,092",We've got shoes being kicked offover here.
10,1,41,"00:03:30,300 --> 00:03:33,417",Bedsprings! Unmistakable!
10,1,42,"00:03:33,620 --> 00:03:37,056",- You realize that's your brother.- Not until you said it. Somebody switch!
10,1,43,"00:03:39,380 --> 00:03:41,371",Wow! Wait a minute.
